,density,smiles
102,0.96,CCC(C)(C)c1ccc(O)cc1
103,1.234,COS(=O)(=O)c1ccc(C)cc1
104,0.96,CCOC(=O)C(C)(C)O
105,0.969,CC=C(C)C(=O)O
106,1.502,Nc1ccc2ccccc2c1S(=O)(=O)O
107,1.659,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21
108,1.384,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O
109,1.301,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
110,1.286,O=C1c2ccccc2-c2cccc3cccc1c23
111,1.279,O=C1CCC(=O)N1c1ccccc1
112,1.324,Cc1c(Cl)cccc1[N+](=O)[O-]
113,1.129,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
114,1.267,Cc1ccc2c(c1)C(=O)c1ccccc1C2=O
115,1.74,CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1
116,1.1,CCCCOC(=O)c1ccccc1C(=O)OC1CCCCC1
117,1.05,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
118,1.053,CCCCOC(=O)c1ccccc1C(=O)OCCCC
119,1.502,Nc1ccc(S(=O)(=O)O)c2ccccc12
120,1.502,Nc1cccc2c(S(=O)(=O)O)cccc12
121,1.024,CCN(CC)c1cccc2ccccc12
122,1.203,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
123,1.367,O=C1NC(=O)c2ccccc21
124,1.001,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C
125,1.126,CNc1ccccc1C(=O)OC
126,1.167,ClCc1cccc2ccccc12
127,1.178,NC(=O)Cc1cccc2ccccc12
128,1.333,NC(=S)Nc1cccc2ccccc12
129,1.15,CC1=NN(c2ccc(C)cc2)C(=O)C1
130,1.627,Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1
131,0.89,C=C1CCC=C(C)CCC2C1CC2(C)C
132,1.354,O=C(O)Cc1c[nH]c2ccccc12
133,1.648,O=CC(Cl)=C(Cl)C(=O)O
134,0.975,Cc1cccc(N)c1C
135,1.69,Clc1cccc(Cl)c1Cl
136,1.18,Cc1cccc(Cl)c1N
137,1.201,Cc1cccc(Cl)c1O
138,1.458,Oc1c(Cl)cccc1Cl
139,1.804,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
140,2.19,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl
141,0.93,CC(=O)OC1CCCCC1C(C)(C)C
142,1.553,Cc1cc(N)c(S(=O)(=O)O)cc1Cl
143,1.233,NC(=O)c1ccccc1N
144,2.971,O=C(O)c1cc(I)cc(I)c1I
145,1.451,O=C(O)c1ccccc1C(=O)O
146,1.491,Nc1ccc(O)c(C(=O)O)c1
147,1.324,Cc1ccc(Cl)cc1[N+](=O)[O-]
148,1.324,Cc1ccc(Cl)c([N+](=O)[O-])c1
149,1.554,O=[N+]([O-])c1cc(Cl)ccc1O
150,1.954,O=C1OC(C(O)CO)C(O)=C1O
151,1.111,Cc1cc(O)c(C(C)C)cc1Cl
152,1.18,CC(=O)c1ccc(O)cc1O
153,0.964,Cc1ccccc1CN
154,1.226,O=Cc1ccccc1O
155,1.194,O=C1c2ccccc2Cc2ccccc21
156,1.101,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1
157,1.063,NC(c1ccccc1)c1ccccc1
158,1.139,O=C(c1ccccc1)c1ccccn1
159,0.896,C1CCC2CCCCC2C1
160,1.124,c1ccc2nccnc2c1
161,1.254,COc1ccccc1[N+](=O)[O-]
162,1.2656,Clc1ccc2ccccc2c1
163,1.176,Sc1ccc2ccccc2c1
164,1.046,CCN(CCO)c1ccccc1
165,1.111,Oc1ccc(-c2ccccc2)cc1
166,1.265,O=C(O)c1ccc2ccccc2c1
167,1.06,CCOc1ccc2ccccc2c1
168,1.327,COc1cc([N+](=O)[O-])ccc1NC(C)=O
169,1.073,CC=Cc1ccc(OC(C)=O)c(OC)c1
170,1.092,COc1cc(C)ccc1O
171,0.981,CC(C=O)c1ccccc1
172,1.29,Cc1ccccc1NC(=N)NC(=N)N
173,1.09,CC(=O)OC(C)c1ccccc1
174,1.104,CCOC(=O)CC(=O)c1ccccc1
175,1.025,CCOC(=O)c1ccc(C)cc1
176,0.967,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC
177,1.303,CCOc1ccc2nc(N)sc2c1
178,1.42,ON=Cc1ccccc1O
179,1.052,CC=Cc1ccc(OCC)c(O)c1
180,1.286,CC(CN=Cc1ccccc1O)N=Cc1ccccc1O
181,1.386,ClCc1ccc(Cl)cc1Cl
182,1.348,c1ccc2[nH]nnc2c1
183,1.238,c1ccc2scnc2c1
184,1.11,Cc1cc2ccccc2[nH]1
185,1.306,Clc1ccccc1Cl
186,1.213,Nc1ccccc1Cl
187,0.88,Cc1ccc(C)c(C)c1
188,0.975,Cc1ccc(C)c(N)c1
189,2.398,BrCC(Br)CBr
190,0.805,CCC(C)C=O
191,0.944,CCC(N)CO
192,1.306,OC(CCl)CCl
193,0.749,CC1CCCC1
194,0.86,CC1CCCO1
195,1.308,O=C1OCCO1
196,0.826,CC(C)N(CCO)C(C)C
197,2.471,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O
198,1.392,Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
199,1.09,CC(C)=CC1C(C(=O)OC2CC(=O)C(C3C=CCC3)=C2C)C1(C)C
200,1.75,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
201,1.419,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
202,1.58,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
203,1.333,COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-]
204,1.24,CC(=O)CC(=O)Nc1ccc(C)cc1C
205,1.08,Cc1ccccc1NC(=N)Nc1ccccc1C
206,1.5,O=Cc1cc([N+](=O)[O-])ccc1O
207,1.077,CC=Cc1ccc(O)c(OC)c1
208,1.366,C=C(CC(=O)O)C(=O)O
209,0.976,CC(C)C(=O)OC(=O)C(C)C
210,1.27,CCN(CC)C(=S)SSC(=S)N(CC)CC
211,1.221,CCOC(=O)C1CC2CC1C1OC21
212,0.886,C=C(C)C(=O)OCC(C)C
213,0.894,C=C(C)C(=O)OCCCC
214,1.31,Cl[Si](Cl)(Cl)c1ccccc1
215,1.436,O=[N+]([O-])c1cccc(C(F)(F)F)c1
216,1.637,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1
217,0.92,CC(C)(C)C1CCC(O)CC1
218,1.056,CC(C)(C)c1ccc(C(=O)O)cc1
219,0.874,C=C(C)c1ccccc1
220,1.254,ClC(Cl)c1ccccc1
221,1.301,NC(=O)c1cnccn1
222,1.253,CCOC(=O)c1ccc([N+](=O)[O-])cc1
223,0.845,CC1=CCC(C(C)C)=CC1
224,0.987,CC(C)c1ccc(O)cc1
225,1.049,CN(C)c1ccc(N)cc1
226,1.26,COc1ccc(C(=O)Cl)cc1
227,1.652,O=[N+]([O-])c1ccc(CBr)cc1
228,1.172,C=Cc1ccc([N+](=O)[O-])cc1
229,1.222,COc1ccc([N+](=O)[O-])cc1
230,0.855,CC(=O)c1ccc([N+](=O)[O-])cc1
231,1.32,O=C=Nc1ccc([N+](=O)[O-])cc1
232,0.82,CCN(CC)CCN
233,1.018,ClCc1ccccc1
234,1.159,N#Cc1cccnc1
235,0.868,CNC1CCCCC1
236,0.984,CNc1ccccc1
237,1.027,OCC1CCCCO1
238,1.06,O=NN1CCCCC1
239,1.034,CC1(C)OCC(CO)O1
240,1.226,O=Cc1cccc(O)c1
241,1.428,C1N2CN3CN1CN(C2)C3
242,1.184,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
243,1.307,CC(Oc1cccc(Cl)c1)C(=O)O
244,1.216,Oc1cccc(Nc2ccccc2)c1
245,1.7,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1S(=O)(=O)O
246,0.939,CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1
247,1.063,c1ccc(Oc2ccccc2)cc1
248,0.95,CCCCCCC(C=O)=Cc1ccccc1
249,1.21,c1cc(OCC2CO2)cc(OCC2CO2)c1
250,1.108,Cc1ccc(OC(=O)Cc2ccccc2)cc1
251,0.942,CCC(C)Nc1ccc(NC(C)CC)cc1
252,1.031,CCOC(=O)Cc1ccccc1
253,1.136,CCOC(=O)Nc1ccccc1
254,1.284,S=C(Nc1ccccc1)Nc1ccccc1
255,1.082,O=C(Cc1ccccc1)OCCc1ccccc1
256,1.065,COc1ccc(N)c(C)c1
257,1.096,COc1ccc(OC)c(N)c1
258,0.808,C=CCN(CC=C)CC=C
259,1.177,O=[N+]([O-])C=Cc1ccccc1
260,0.969,CC(C)(O)CCc1ccccc1
261,0.99,CC(=O)OC(C)(C)CCc1ccccc1
262,1.05,COC(=O)CCc1ccccc1
263,1.078,COC(=O)C=Cc1ccccc1
264,1.044,C(=Cc1ccccc1)c1ccccc1
265,1,CCCC(=O)OCc1ccccc1
266,1.128,O=C(C=Cc1ccccc1)OCc1ccccc1
267,0.799,C=COCC(CC)CCCC
268,0.99,CC(C)C(=O)OCCc1ccccc1
269,1.026,c1ccc(CNCc2ccccc2)cc1
270,1.054,CC(=O)OCC=Cc1ccccc1
271,1.044,CC(C)C(=O)OCCOc1ccccc1
272,0.96,CCOC1CCC=CO1
273,1.008,Cc1ccc(OC(=O)C(C)C)cc1
274,1.042,Cc1ccc(CC=O)cc1
275,1.249,NCC(O)c1ccc(O)cc1
276,1.1,COc1ccc(COC(C)=O)cc1
277,0.937,CCCCCCCCCc1ccc(O)cc1
278,1.17,O=C=Nc1ccc(N=C=O)cc1
279,1.08,O=COCc1ccccc1
280,0.941,COc1ccc(C)cc1
281,1.138,CC(C)OC(=O)OOC(=O)OC(C)C
282,0.98,CCCCOC(=O)C=CC(=O)OCCCC
283,0.904,CC(=O)OCC=C(C)CCC=C(C)C
284,0.899,CCC(=O)OCC=C(C)CCC=C(C)C
285,0.9,CCC(=O)OCC=C(C)CCC=C(C)C
286,0.918,O=C1CCCCCCCCCCCCCCO1
287,0.964,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCO
288,0.881,CCCOC(=O)CC
289,0.87,Cc1ccc(C)cc1
290,1.049,Cc1ccc(S)cc1
291,0.992,Cc1ccc(N)cc1
292,1.005,CN1CCC(O)CC1
293,1.227,C1CC2OC2CC1C1CO1
294,1.205,ClCC1CO1
295,0.962,C=CCOCC1CO1
296,0.939,C=CCCl
297,0.822,C=CCO
298,1.07,CC(C)OP(C)(=O)F
299,0.79,C[Si](C)(C)O[Si](C)(C)C
300,0.941,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
301,0.859,C#CC(C)(O)CC(C)C
302,0.918,CC(CCO)CCCC(C)(C)O
303,1.211,CCCC(C)Br
304,0.796,CCCC(C)=O
305,0.981,CC(O)CC=O
306,1.218,O=C(O)CCS
307,0.912,COCC(C)O
308,0.835,CN(C)CCN
309,0.737,CC(C)NC(C)C
310,1.484,O=C1C=CC(=O)O1
311,1.279,CCOP(=S)(OCC)Oc1cc(C)[nH]n1
312,1.038,Cc1cccc(O)c1
313,0.989,Cc1cccc(N)c1
314,1.27,Oc1cccc(O)c1
315,1.156,COC(=O)CC(=O)OC
316,1.086,CC(CCl)OC(C)CCl
317,1.014,Cc1cc(C)cc(O)c1
318,0.925,CN1CN(C)CN(C)C1
319,1.192,O=c1ccocc1
320,0.869,CCCCCCCCOC(=O)C(C)C
321,0.858,CCCCOC(=O)CC(C)C
322,0.8675,CCCCOC(=O)CCC
323,0.879,O=C1CCCCCCCCCCCCCCCO1
324,0.966,CCCCC(=O)O
325,0.773,C=COCC(C)C
326,1.933,BrCCCBr
327,0.641,C=CCCC
328,0.873,CCCCCl
329,0.852,COCCN
330,0.751,C=COCC
331,0.99,c1cc[nH]c1
332,0.904,C1CCOC1
333,0.999,C1CCSC1
334,0.796,CC(C)(C)OOC(C)(C)C
335,1.499,O=C(O)C=CC(=O)O
336,0.883,CC(=O)OCC(C)C
337,0.864,CCCCCCCCCCCCCC(=O)OC(C)C
338,0.862,CCCCCCCCCC(=O)OCC
339,1.785,BrCCCCBr
340,0.877,NCCCCN
341,1.006,OCCCCO
342,1.181,OCC#CCO
343,0.736,CCCCNC
344,0.91,CCNCCO
345,1.048,C=COCCCl
346,0.791,C1CCCCC1
347,0.811,C1=CCCCC1
348,0.759,CC(C)CNCC(C)C
349,1.0038,CC(O)CNCC(C)O
350,0.812,CCCCCCC(C)=O
351,1.12,CC(=O)OCCOCCOCCOC(C)=O
352,1.176,CCCCCCBr
353,0.817,CCCCCCO
354,0.951,NCCNCCN
355,0.961,CCCCCCCC(=O)Cl
356,0.945,N#CCCCCC#N
357,0.901,CCCCOCCO
358,0.99,COCCOCCO
359,0.88,C=CCCCCCCCCC(=O)OC
360,0.864,CCCCCCCCCl
361,0.762,CCCCNCCCC
362,0.914,COCCOCCOC
363,0.868,CCCCCCCCOC(C)=O
364,0.877,CCCCCCCOC=O
365,0.875,CCCCCCCCOC=O
366,0.902,CCOCCOCCOCC
367,0.923,OCCCCCCCCCCO
368,0.986,COCCOCCOCCOC
369,0.822,CCCCCCCCCCCCCO
370,0.944,CCCCOCCOCCOCCOCCOCCCC
371,1.209,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
372,1.082,CNC(=O)Oc1ccccc1OC(C)C
373,0.991,COCCc1ccccn1
374,2.665,O=CC(Br)(Br)Br
375,0.971,CC(=O)C(C)(C)O
376,1.99,O=C1OC(=O)C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
377,1.94,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
378,1.098,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
379,1.03,CC(=CCCC1(C)C2CC3C(C2)C31C)CO
380,0.95,CCC(CC)(CO)CO
381,0.879,CCCCC(CC)CO[Si](OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC
382,0.93,CCCCC(CC)(CO)CO
383,1.265,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
384,1.278,C=CP(=O)(OCCCl)OCCCl
385,0.752,C=C(C)OC
386,1.843,O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
387,0.962,CCC(C)C(=O)O
388,1.365,COC(=O)C(Cl)Cl
389,1.366,COc1ccc(N)c2c1C(=O)c1ccccc1C2=O
390,1.8,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(S(=O)(=O)O)c21
391,1.769,Nc1ccc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c12
392,0.979,C=C1N(C)c2ccccc2C1(C)C
393,1.816,O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1
394,1.58,CC1(C)C(=O)N(Cl)C(=O)N1Cl
395,1.399,CC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
396,1.24,Cc1ccc(O)c([N+](=O)[O-])c1
397,1.511,Nc1ccc(O)c([N+](=O)[O-])c1
398,1.1,Cc1cc(OC(=O)N(C)C)n(C(C)C)n1
399,1.114,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
400,1.36,O=[N+]([O-])c1ccccc1Nc1ccccc1
401,1.502,Nc1cccc2cc(S(=O)(=O)O)ccc12
402,1.423,O=S(=O)(O)c1ccc2ccccc2c1
403,1.22,Oc1ccc(Cl)cc1Cc1ccccc1
404,1.437,S=C(SSSSC(=S)N1CCCCC1)N1CCCCC1
405,1.145,CC=Cc1ccc2c(c1)OCO2
406,1.175,COC(=O)c1ccc(C(=O)OC)cc1
407,1.217,Cc1nc2ccccc2s1
408,0.863,CC1CN(C)CCN1C
409,1.04,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
410,1.186,CCOc1cc(C=O)ccc1O
411,0.75,CCN(CC)CC
412,1.428,Nc1cc(C(F)(F)F)ccc1Cl
413,1.512,Nc1ccc(S(=O)(=O)O)cc1
414,1.414,CC(=O)Nc1ccc(S(N)(=O)=O)cc1
415,1.451,O=C(O)c1cccc(C(=O)O)c1
416,1.377,O=C(Cl)c1ccc(Cl)cc1
417,0.938,CC(C)(N)Cc1ccccc1
418,0.891,CCOC(OCC)OCC
419,1.121,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1
420,1,CCC(=O)OCCCc1ccccc1
421,1.029,O=CCc1ccccc1
422,0.987,NCCCN1CCOCC1
423,1.012,CCc1ccc(O)cc1
424,1.226,O=Cc1ccc(O)cc1
425,0.799,CCCC(C)C=O
426,1.321,O=c1ccc(=O)[nH][nH]1
427,0.95,CC(=O)CC(C)(C)O
428,1.875,O=C(O)CS(=O)(=O)O
429,0.764,CC(=CC(C)(C)C)CC(C)(C)C
430,0.808,CCNCCN(C)C
431,0.861,CCCCCCCCCCCCCCCCCC(=O)OCCCC
432,0.855,CCCCCCCCCCCCCC(=O)OC
433,0.868,CCCCCCCCCCCCCCCCCC(N)=O
434,1.346,Cc1cc(C2(c3cc(C)c(O)cc3C)OS(=O)(=O)c3ccccc32)c(C)cc1O
435,1.173,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
436,1.28,CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
437,1.06,CC(C)(CO)CO
438,0.98,C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1
439,1.016,CC1(C)CC(=O)CC(=O)C1
440,1.261,CC(=O)C(=O)O
441,1.05,C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1
442,1.142,CCCCN(CCCC)S(=O)(=O)c1ccc(Cl)cc1
443,1.227,O=S(=O)(c1ccccc1)c1ccccc1
444,1.128,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
445,1.779,O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1
446,0.978,CC1(C)C2CC=C(CCO)C1C2
447,0.996,CC(=O)OCCC1=CCC2CC1C2(C)C
448,1.418,O=c1c2ccccc2c2ccc3c(=O)c4ccccc4c4ccc1c2c34
449,1.427,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O
450,1.423,O=C1c2ccccc2C(=O)c2c(O)cccc21
451,1.747,O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-]
452,1.505,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O
453,1.32,COC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
454,1.201,COc1ccc(C(=O)c2ccccc2)c(O)c1
455,1.938,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
456,1.381,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1
457,1.537,O=C(Nc1cccc2c(=O)c3c(ccc4c5cc(NC(=O)c6ccccc6)c6c(=O)c7ccccc7c(=O)c6c5[nH]c43)c(=O)c12)c1ccccc1
458,2.31,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
459,1.4,O=C(Cc1ccccc1)OC1=C(OC(=O)Cc2ccccc2)C(=O)OC1=O
460,1.253,O=C1NC(CCCl)Oc2ccccc21
461,1.47,O=C1OC(=O)C(OC(=O)c2ccccc2)=C1OC(=O)c1ccccc1
462,1.04,CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1
463,1.137,Nc1cccc2ccccc12
464,0.997,CC1NCCOC1c1ccccc1
465,0.985,CCN(CC)C(=O)c1cccc(C)c1
466,1.205,Nc1ccc(-c2ccc(Cl)cc2)cc1
467,1.078,CN1C2CCC1CC(O)C2
468,1.07,c1ccc(N=NNc2ccccc2)cc1
469,1.049,CCCCCCc1ccc(O)cc1O
470,0.78,Cc1cc(C)c(N)cc1C
471,1.115,CC1=CC(=O)C(C)=CC1=O
472,0.84,C=C(C)C1CC=C(C)CC1
473,1.096,CCC(=O)OCC(COC(=O)CC)OC(=O)CC
474,1.013,N#CCc1ccccc1
475,0.985,NCCN1CCNCC1
476,1.53,O=NN1CCN(N=O)CC1
477,0.977,CCCCOC(=O)CCC(=O)OCCCC
478,0.878,CCCCC(=O)OCCC
479,1.083,O=CCCCC(O)C=O
480,0.873,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
481,1.59,O=C1CSC(=S)N1
482,0.741,CCCNCCC
483,0.862,CCCCCCCCCCCCCCCC(=O)OC(C)C
484,0.827,CCCCCCCCCO
485,0.981,CCCCOCCOCCOCCO
486,0.895,C=CC(C)(CCC=C(C)C)OC(=O)CC
